Meetup name,Meetup address,geo_longitude,geo_latitude,Region,Topic,Topic 2,Frequency,Day,Time,DevShop Hosted?
JavaScript / NodeSchool,"5300 Beethoven St, Los Angeles, CA 90066",-118.42277,33.978977,West,JavaScript,,Monthly,Saturday,,no
Learn to Code JS Study Group,"10717 Venice Blvd, Los Angeles, CA 90034 ",-118.40754,34.018585,West,JavaScript,,,,,no
Women who Code,"1615 16th St, Santa Monica, CA 90404",-118.48055,34.02287,West,JavaScript,,One-Off,,,no
GDI Mar Vista,"3838 S Centinela Ave, Los Angeles, CA, 90066",-118.43288,34.002785,West,JavaScript,,One-Off,,,no
LA Coders Co-Learning Group,"3515 Wilshire Blvd, Los Angeles, CA 90010-2301",-118.30096,34.061745,East,JavaScript,,Weekends,,,no
LA SoftWare Workshops,"315 W 9th St. Suite 901, Los Angeles, CA 90015",-118.2577,34.043404,East,Full-Stack,,Nights & Weekends,,,yes
Pivotal Labs,"1333 2nd Street, Floor 2, Santa Monica, CA 90401",-118.49807,34.01575,West,Full-Stack,,One-Off,,,yes
Carbon 5,"525 Colorado Ave, Santa Monica, CA 90401",-118.49084,34.014732,West,Full-Stack,,,Wednesday,,yes
Learn to Code LA: Beginner Ruby,"1019 El Centro St. South Pasadena, CA, 91030",-118.156395,34.114723,East,Ruby/Rails,,,,,
Learn to Code LA: Monday Nights,"Little Tokyo Shopping Center, 333 S Alameda St, Ste 108, Los Angeles, CA, 90013",-118.23806,34.044735,East,Ruby/Rails,Front-end,,Monday,,
LA Eastside Ruby,"300 N Brand Blvd, Glendale, CA, 91203",-118.25506,34.150055,East,Ruby/Rails,,,,,
Code Night,"403 N Larchmont Blvd,  Los Angeles, CA 90004                  ",-118.323654,34.077614,Mid,Ruby/Rails,JavaScript,Weekly,Wednesday,,
Learn to Code LA: Python Study Group,"Little Tokyo Shopping Center, 333 S Alameda St, Ste 108, Los Angeles, CA, 90013",-118.23806,34.044735,East,Python,,,,,
Web Study Group: Women who Code,"9020 Reseda Blvd, Northridge, CA 91324",-118.53608,34.234,Valley,Web,,,,,
Web Study Group: Women who Code at Crashspace,"10526 Venice Blvd, Culver City, CA 90232",-118.40502,34.01962,West,Web,,,,,
Python Office Hours with Pyladies at Crashspace,"10526 Venice Blvd, Culver City, CA 90232",-118.40502,34.01962,West,Web,Python,,,,
Code District,"22519 Hawthorne Blvd, Torrance, CA 90505",-118.350945,33.823685,South Bay,Web,,One-Off,,,
Long Beach Python,"205 East Anaheim Street, Long Beach, CA 90813",-118.19091,33.782604,Long Beach,Web,Python,,,,
Learn to Code LA: Functional Programming,"607 S Western Ave, Los Angeles, CA 90005",-118.3091,34.063225,East,Functional,,,,,
CSS-LA,"5870 W Jefferson Blvd, Los Angeles, CA 90016",-118.376945,34.02293,,CSS,,,,,
Code & Coffee,"236 Pine Ave, Long Beach, CA 90802",-118.192375,33.769978,Long Beach,General,Hack,,,Morning,
FullStack LA,"3575 Cahuenga Blvd. West, Suite 350, Los Angeles, CA 90068",-118.35804,34.13395,East,Open Source,Pairing,Fortnightly,Wednesday,18:30 - 22:00,
West Side Ruby & Rails Study Group,"Main Library, Santa Monica, CA, 90401",-118.4932,34.01799,West,Ruby/Rails,,Weekly,Thursday,19:00 - 22:00,